title, £ (price)
Starving Hearts (Triangular Trade Trilogy, #1), £13.99
In Her Wake, £12.84
Untitled Collection: Sabbath Poems 2014, £14.27
Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1), £13.61
Princess Between Worlds (Wide-Awake Princess #5), £13.34
Patience, £10.16
On a Midnight Clear, £14.07
Obsidian (Lux #1), £14.86
Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed, £14.02
The Third Wave: An Entrepreneur’s Vision of the Future, £12.61
The Project, £10.65
The Long Shadow of Small Ghosts: Murder and Memory in an American City, £10.97
The Argonauts, £10.93
So You've Been Publicly Shamed, £12.23
Poems That Make Grown Women Cry, £14.19
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1), £10.76
Little Red, £13.47
Beauty Restored (Riley Family Legacy Novellas #3), £11.11
Agnostic: A Spirited Manifesto, £12.51
Wild Swans, £14.36
Walt Disney's Alice in Wonderland, £12.96
The Lucifer Effect: Understanding How Good People Turn Evil, £10.4
The Guilty (Will Robie #4), £13.82
That Darkness (Gardiner and Renner #1), £13.92
Tastes Like Fear (DI Marnie Rome #3), £10.69
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1), £11.89
Pet Sematary, £10.56
Old School (Diary of a Wimpy Kid #10), £11.83
I Am Pilgrim (Pilgrim #1), £10.6
Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened, £14.75
Greek Mythic History, £10.23
Eight Hundred Grapes, £14.39
Dear Mr. Knightley, £11.21
City of Fallen Angels (The Mortal Instruments #4), £11.23
Adulthood Is a Myth: A "Sarah's Scribbles" Collection, £10.9
A Distant Mirror: The Calamitous 14th Century, £14.58
The Three Searches, Meaning, and the Story, £13.33
My Kitchen Year: 136 Recipes That Saved My Life, £11.53
Will You Won't You Want Me?, £13.86
The Epidemic (The Program 0.6), £14.44
The Children, £11.88
Hide Away (Eve Duncan #20), £11.84
The Sleep Revolution: Transforming Your Life, One Night at a Time, £11.68
Playing with Fire, £13.71
Mothering Sunday, £13.34
A Gentleman's Position (Society of Gentlemen #3), £14.75
Underlying Notes, £11.82
The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York, £12.34
NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond, £10.41
Roller Girl, £14.1
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want, £12.55
History of Beauty, £10.29
Brilliant Beacons: A History of the American Lighthouse, £11.45
A Murder Over a Girl: Justice, Gender, Junior High, £13.2
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life, £12.08
The Origin of Species, £10.01
Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories, £11.38
Life of Pi, £13.22
Every Heart a Doorway (Every Heart A Doorway #1), £12.16
The Fellowship of the Ring (The Lord of the Rings #1), £10.27
Two Summers, £14.64
The Power Greens Cookbook: 140 Delicious Superfood Recipes, £11.05
The Grand Design, £13.76
The Darkest Corners, £11.33
The 5th Wave (The 5th Wave #1), £11.83
Remember Me?, £11.48
Logan Kade (Fallen Crest High #5.5), £13.12
An Abundance of Katherines, £10.0
A Clash of Kings (A Song of Ice and Fire #2), £10.79
The Hound of the Baskervilles (Sherlock Holmes #5), £14.82
Some Women, £13.73
Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors, £12.36
Night Shift (Night Shift #1-20), £12.75
Harry Potter and the Sorcerer's Stone (Harry Potter #1), £13.9
Harry Potter and the Chamber of Secrets (Harry Potter #2), £14.74
Dark Lover (Black Dagger Brotherhood #1), £12.87
Changing the Game (Play by Play #2), £13.38
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table, £13.66
The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine), £14.41
The Tipping Point: How Little Things Can Make a Big Difference, £10.02
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2), £10.92
The Purest Hook (Second Circle Tattoos #3), £12.25
The Guns of August, £14.54
The Giver (The Giver Quartet #1), £12.3
The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory, £13.03
Scarlet (The Lunar Chronicles #2), £14.57
Running with Scissors, £12.91
Reservations for Two, £11.1
Outliers: The Story of Success, £14.16
Night (The Night Trilogy #1), £13.51
Lust & Wonder, £11.87
Lila (Gilead #3), £12.47
Green Eggs and Ham (Beginner Books B-16), £10.79
Counting Thyme, £10.62
Are We There Yet?, £10.66
A Visit from the Goon Squad, £14.08
The Suffragettes (Little Black Classics, #96), £11.89
Saga, Volume 2 (Saga (Collected Editions) #2), £11.75
New Moon (Twilight #2), £12.86
Fruits Basket, Vol. 2 (Fruits Basket #2), £11.64
The Silent Wife, £12.34
The Girl You Lost, £12.29
The End of the Jesus Era (An Investigation #1), £14.4
The Complete Maus (Maus #1-2), £10.64
The Communist Manifesto, £14.76
Sister Sable (The Mad Queen #1), £13.33
